Date,Open,High,Low,Close,Up votes,Down votes
2022-11-25,17673.2,17673.2,17412.04,17573.58,0.59,0.41000000000000003
2022-11-28,17000.23,17364.21,16833.68,17297.94,0.535764705882353,0.46423529411764697
2022-11-29,17558.6,18204.68,17536.45,18204.68,0.49,0.51
2022-11-30,18141.56,18645.35,18052.32,18597.23,0.62,0.38
2022-12-01,19058.9,19237.45,18679.35,18736.44,0.7,0.30000000000000004
2022-12-02,18785.28,18841.22,18530.82,18675.35,0.52,0.48
2022-12-05,19221.68,19539.6,19035.14,19518.29,0.45,0.55
2022-12-06,19211.7,19569.67,19202.87,19441.18,0.61,0.39
2022-12-07,19380.8,19737.31,18799.81,18814.82,0.63,0.37
2022-12-08,18965.05,19521.6,18965.05,19450.23,0.42,0.5800000000000001
2022-12-09,19484.23,19926.48,19404.5,19900.87,0.66,0.33999999999999997
2022-12-12,19594.52,19718.08,19366.22,19463.63,0.535764705882353,0.46423529411764697
2022-12-13,19458.02,19707.75,19382.3,19596.2,0.51,0.49
2022-12-14,19775.33,19859.75,19528.71,19673.45,0.8,0.19999999999999996
2022-12-15,19612.67,19675.68,19233.86,19368.59,0.57,0.43000000000000005
2022-12-16,19343.7,19621.13,19130.53,19450.67,0.58,0.42000000000000004
2022-12-19,19472.21,19786.29,19255.95,19352.81,0.535764705882353,0.46423529411764697
2022-12-20,19156.94,19283.14,18885.2,19094.8,0.54,0.45999999999999996
2022-12-21,19190.91,19255.74,19063.3,19160.49,0.48,0.52
2022-12-22,19537.45,19735.0,19475.68,19679.22,0.535764705882353,0.46423529411764697
2022-12-23,19382.23,19686.77,19380.47,19593.06,0.535764705882353,0.46423529411764697
2022-12-28,19787.94,20099.77,19787.94,19898.91,0.75,0.25
2022-12-29,19648.4,19764.52,19539.84,19741.14,0.67,0.32999999999999996
2022-12-30,20030.85,20073.92,19781.41,19781.41,0.67,0.32999999999999996
2023-01-03,19570.43,20212.55,19303.73,20145.29,0.535764705882353,0.46423529411764697
2023-01-04,20319.98,20793.11,20233.39,20793.11,0.74,0.26
2023-01-05,21295.87,21396.09,20962.4,21052.17,0.72,0.28
2023-01-06,21220.89,21282.71,20862.77,20991.64,0.55,0.44999999999999996
2023-01-09,21295.94,21470.69,21216.92,21388.34,0.535764705882353,0.46423529411764697
2023-01-10,21370.42,21395.42,21187.73,21331.46,0.69,0.31000000000000005
2023-01-11,21463.82,21686.3,21327.41,21436.05,0.56,0.43999999999999995
2023-01-12,21599.82,21698.94,21223.84,21514.1,0.6,0.4
2023-01-13,21605.07,21770.08,21474.98,21738.66,0.63,0.37
2023-01-16,21818.65,21947.55,21572.51,21746.72,0.535764705882353,0.46423529411764697
2023-01-17,21678.05,21797.62,21417.25,21577.64,0.53,0.47
2023-01-18,21514.8,21691.67,21422.19,21678.0,0.52,0.48
2023-01-19,21452.26,21754.08,21383.03,21650.98,0.62,0.38
2023-01-20,21812.46,22051.77,21754.35,22044.65,0.57,0.43000000000000005
2023-01-26,22386.37,22566.78,22329.07,22566.78,0.535764705882353,0.46423529411764697
2023-01-27,22614.92,22700.85,22483.78,22688.9,0.75,0.25
2023-01-30,22579.88,22623.81,21992.51,22069.73,0.65,0.35
2023-01-31,22190.27,22284.32,21631.55,21842.33,0.49,0.51
2023-02-01,21920.8,22072.18,21703.6,22072.18,0.58,0.42000000000000004
2023-02-02,22276.23,22311.96,21930.53,21958.36,0.68,0.31999999999999995
2023-02-03,21811.08,21820.78,21459.65,21660.47,0.55,0.44999999999999996
2023-02-06,21349.17,21349.17,21085.72,21222.16,0.55,0.44999999999999996
2023-02-07,21288.39,21512.21,21259.21,21298.7,0.44,0.56
2023-02-08,21283.9,21443.48,21178.87,21283.52,0.57,0.43000000000000005
2023-02-09,21154.25,21637.55,21151.27,21624.36,0.55,0.44999999999999996
2023-02-10,21559.44,21579.99,21157.52,21190.42,0.69,0.31000000000000005
2023-02-13,20910.08,21230.15,20799.91,21164.42,0.535764705882353,0.46423529411764697
2023-02-14,21235.92,21237.88,21074.94,21113.76,0.62,0.38
2023-02-15,21116.84,21117.58,20726.83,20812.17,0.55,0.44999999999999996
2023-02-16,20947.07,21306.54,20887.7,20987.67,0.47,0.53
2023-02-17,20958.63,21056.68,20703.74,20719.81,0.43,0.5700000000000001
2023-02-20,20681.47,20973.67,20606.85,20886.96,0.535764705882353,0.46423529411764697
2023-02-21,20859.5,20941.3,20503.05,20529.49,0.66,0.33999999999999997
2023-02-22,20512.49,20620.98,20344.86,20423.84,0.46,0.54
2023-02-23,20339.15,20601.22,20323.24,20351.35,0.61,0.39
2023-02-24,20223.67,20233.64,20006.78,20010.04,0.62,0.38
2023-02-27,19821.03,20086.53,19804.56,19943.51,0.535764705882353,0.46423529411764697
2023-02-28,20020.17,20185.05,19783.07,19785.94,0.59,0.41000000000000003
2023-03-01,19849.97,20674.07,19849.97,20619.71,0.54,0.45999999999999996
2023-03-02,20390.02,20548.57,20321.25,20429.46,0.7,0.30000000000000004
2023-03-03,20703.14,20727.25,20498.16,20567.54,0.56,0.43999999999999995
2023-03-06,20437.87,20702.75,20410.0,20603.19,0.535764705882353,0.46423529411764697
2023-03-07,20606.83,21005.66,20358.78,20534.48,0.64,0.36
2023-03-08,20256.89,20269.93,19969.47,20051.25,0.49,0.51
2023-03-09,20082.42,20157.24,19907.58,19925.74,0.47,0.53
2023-03-10,19580.78,19637.72,19281.97,19319.92,0.44,0.56
2023-03-13,19411.88,19791.64,19390.38,19695.97,0.46,0.54
2023-03-14,19524.51,19639.52,19122.82,19247.96,0.41,0.5900000000000001
2023-03-15,19523.49,19745.44,19431.09,19539.87,0.59,0.41000000000000003
2023-03-16,19197.97,19388.77,19109.07,19203.91,0.27,0.73
2023-03-17,19439.84,19597.18,19303.29,19518.59,0.55,0.44999999999999996
2023-03-20,19352.9,19382.97,18829.11,19000.71,0.535764705882353,0.46423529411764697
2023-03-21,19118.87,19295.64,19018.1,19258.76,0.55,0.44999999999999996
2023-03-22,19428.36,19775.69,19428.36,19591.43,0.66,0.33999999999999997
2023-03-23,19619.74,20051.26,19523.5,20049.64,0.61,0.39
2023-03-24,19919.65,20118.29,19834.45,19915.68,0.7,0.30000000000000004
2023-03-27,19851.79,19938.77,19509.49,19567.69,0.535764705882353,0.46423529411764697
2023-03-28,19688.31,19875.11,19559.47,19784.65,0.5,0.5
2023-03-29,20348.64,20437.69,20107.73,20192.4,0.7,0.30000000000000004
2023-03-30,20216.79,20320.02,20017.17,20309.13,0.535764705882353,0.46423529411764697
2023-03-31,20583.88,20721.97,20357.41,20400.11,0.535764705882353,0.46423529411764697
2023-04-03,20379.5,20475.43,20226.95,20409.18,0.535764705882353,0.46423529411764697
2023-04-04,20364.36,20364.36,20126.9,20274.59,0.66,0.33999999999999997
2023-04-06,20146.22,20343.86,20099.48,20331.2,0.58,0.42000000000000004
2023-04-11,20566.59,20750.73,20293.37,20485.24,0.535764705882353,0.46423529411764697
2023-04-12,20481.53,20494.81,20236.92,20309.86,0.66,0.33999999999999997
2023-04-13,19977.96,20344.48,19885.53,20344.48,0.57,0.43000000000000005
2023-04-14,20422.72,20482.68,20297.16,20438.81,0.68,0.31999999999999995
2023-04-17,20374.51,20864.74,20299.15,20782.45,0.535764705882353,0.46423529411764697
2023-04-18,20643.41,20742.39,20559.08,20650.51,0.68,0.31999999999999995
2023-04-19,20633.0,20633.0,20336.71,20367.76,0.71,0.29000000000000004
2023-04-20,20354.83,20472.5,20308.33,20396.97,0.59,0.41000000000000003
2023-04-21,20330.15,20378.9,19974.91,20075.73,0.535764705882353,0.46423529411764697
2023-04-24,20049.87,20146.37,19734.68,19959.94,0.535764705882353,0.46423529411764697
2023-04-25,19903.53,19910.28,19527.63,19617.88,0.535764705882353,0.46423529411764697
2023-04-26,19520.97,19903.73,19520.97,19757.27,0.42,0.5800000000000001
2023-04-27,19736.35,19880.29,19662.6,19840.28,0.61,0.39
2023-04-28,19936.02,20167.88,19879.07,19894.57,0.6,0.4
2023-05-02,20122.9,20286.46,19761.13,19933.81,0.59,0.41000000000000003
2023-05-03,19686.15,19721.96,19538.72,19699.16,0.49,0.51
2023-05-04,19695.73,19979.77,19695.73,19948.73,0.51,0.49
2023-05-05,20061.0,20208.75,19968.41,20049.31,0.61,0.39
2023-05-08,20128.18,20321.74,20081.7,20297.03,0.535764705882353,0.46423529411764697
2023-05-09,20252.13,20297.83,19817.78,19867.58,0.68,0.31999999999999995
2023-05-10,19860.5,19880.03,19696.59,19762.2,0.535764705882353,0.46423529411764697
2023-05-11,19842.98,19854.49,19567.62,19743.79,0.535764705882353,0.46423529411764697
2023-05-12,19850.84,19853.37,19596.49,19627.24,0.6,0.4
2023-05-15,19525.06,20063.35,19498.04,19971.13,0.535764705882353,0.46423529411764697
2023-05-16,20183.28,20183.28,19891.49,19978.25,0.66,0.33999999999999997
2023-05-17,19956.13,19987.93,19538.09,19560.57,0.52,0.48
2023-05-18,19702.73,19894.23,19630.76,19727.25,0.55,0.44999999999999996
2023-05-19,19535.49,19610.72,19352.81,19450.57,0.535764705882353,0.46423529411764697
2023-05-22,19479.06,19806.44,19410.07,19678.17,0.66,0.33999999999999997
2023-05-23,19713.46,19769.14,19363.5,19431.25,0.535764705882353,0.46423529411764697
2023-05-24,19279.39,19304.2,19046.8,19115.93,0.56,0.43999999999999995
2023-05-25,18930.23,18930.23,18620.84,18746.92,0.39,0.61
2023-05-29,18827.08,18879.09,18517.86,18551.11,0.49,0.51
2023-05-30,18574.19,18666.71,18369.93,18595.78,0.42,0.5800000000000001
2023-05-31,18415.0,18415.0,18044.86,18234.27,0.5,0.5
2023-06-01,18190.27,18465.64,18190.27,18216.91,0.47,0.53
2023-06-02,18566.81,19024.91,18548.3,18949.94,0.51,0.49
2023-06-05,19014.96,19123.8,18896.13,19108.5,0.535764705882353,0.46423529411764697
2023-06-06,19117.11,19377.38,19033.85,19099.28,0.56,0.43999999999999995
2023-06-07,19327.15,19410.48,19196.09,19252.0,0.535764705882353,0.46423529411764697
2023-06-08,19227.84,19339.82,19087.66,19299.18,0.61,0.39
2023-06-09,19333.43,19463.61,19231.13,19389.95,0.61,0.39
2023-06-12,19440.99,19440.99,19255.65,19404.31,0.535764705882353,0.46423529411764697
2023-06-13,19355.65,19572.42,19273.42,19521.42,0.59,0.41000000000000003
2023-06-14,19547.58,19641.16,19352.34,19408.42,0.73,0.27
2023-06-15,19626.8,19832.2,19510.76,19828.92,0.61,0.39
